sup_id,name,full_name,gender,place_of_birth,first_appearance,publisher,alignment,race,height,weight,eye_color,hair_color,occupation,work_base,group_affiliation,relatives,intelligence,strength,speed,durability,power,combat,image_url
167,Century,,Male,,"Force Works #1 (July, 1994)",Marvel Comics,good,Alien,6'7,97 kg,White,White,"Tracker, adventurer",,Force Works,,88,80,53,64,100,100,https://www.superherodb.com/pictures2/portraits/10/100/1511.jpg
168,Cerebra,Shakti Haddad,Female,,"X-Men 2099 #1 (October, 1993)",Marvel Comics,good,Mutant,0 cm,0 kg,,,,,"X-Men (2099), Halo City Protectorate, X-Nation",Zail Haddad (father),,57,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1512.jpg
169,Chamber,Jonothon Evan Starsmore,Male,United Kingdom,"Generation X #1 (November, 1994)",Marvel Comics,good,Mutant,5'9,63 kg,Brown,Brown,Adventurer,"Utopia; formerly New Warriors HQ; Xavier Institute for Higher Learning, Salem Center, Westchester County, New York; Massachusetts Academy, Snow Valley, Massachusetts",X-Men; formerly New Warriors; Clan Akkaba; Weapon X; Generation X,,50,10,20,80,57,64,https://www.superherodb.com/pictures2/portraits/10/100/44.jpg
170,Chameleon,Dmitri Anatoly Smerdyakov Kravinoff,Male,Russia,Amazing Spider-Man #1,DC Comics,bad,,0 cm,0 kg,,,,,"The Exterminators; formerly Sinister Six, Sinister Twelve","Kravinoff Patriarch (father, deceased), mother (unnamed), Sergei Kravinoff (Kraven I, half-brother, deceased), Vladimir Kravinoff (The Grim Hunter, nephew, deceased), Alyosha Kravinoff (Kraven the Hunter, nephew), Ned Tannengarden (nephew, deceased)",88,10,12,28,28,28,https://www.superherodb.com/pictures2/portraits/10/100/660.jpg
171,Changeling,Kevin Sidney,Male,,"Uncanny X-Men #35 (August, 1967)",Marvel Comics,bad,,5'11,81 kg,Brown,Black,"Former substitute teacher, adventurer, subversive",,"Formerly X-Humed, X-Men, Factor Three",,63,10,23,42,64,64,https://www.superherodb.com/pictures2/portraits/10/100/1107.jpg
172,Cheetah,Priscilla Rich,Female,,Wonder Woman Vol1 #6 (Fall 1943),DC Comics,bad,Human,5'4,50 kg,Green,Blond,,,Villainy Inc,"Claudia Rich (cousin), Debi Domaine (niece)",38,8,42,20,32,70,https://www.superherodb.com/pictures2/portraits/10/100/661.jpg
173,Cheetah II,Deborah Domaine,Female,,Wonder Woman Vol1 #274 (Dec 1980),DC Comics,bad,Human,5'7,55 kg,Green,Brown,,"Chesapeake Bay, Maryland",Former member of the Organization For Ecological Sanity · former member of the Secret Society of Super-Villains,"Priscilla Rich (Cheetah I, aunt), Claudia Rich (aunt)",38,20,42,20,39,60,https://www.superherodb.com/pictures2/portraits/10/100/925.jpg
174,Cheetah III,Barbara Minerva,Female,,Wonder Woman Vol2 #7 (Sept 1987),DC Comics,bad,Human,5'9,54 kg,Brown,Brown,"Archaeologist, Anthropologist","Nottingham, England","The Society, Injustice League",,88,100,88,80,78,95,https://www.superherodb.com/pictures2/portraits/10/100/926.jpg
175,Chromos,Bernard Embers,Male,"London, England",Team Epic Episode 101,Team Epic TV,bad,,6'1,86 kg,Brown,Red / Grey,"Bar owner and Entertainer, President of V.E., Lieutenant in the G.V.W.","Toronto, Canada","The Guardian Villain�s Ward (G.V.W.), Villain�s Equity (V.E.), and A.S.C. (Anti-Super Conspirators)","Hi-Jaq (daughter), Exile (son)",,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1001.jpg
176,Chuck Norris,Carlos Ray Norris,Male,"Ryan, Oklahoma, United States",,,good,,5'10,0 kg,,,,,,,50,80,47,56,42,99,https://www.superherodb.com/pictures2/portraits/10/100/954.jpg
177,Citizen Steel,Nathan Heywood,Male,,"Justice Society of America Vol 3 #2 (March, 2007)",DC Comics,good,Human,6'0,170 kg,Green,Red,"Adventurer, former Professional Football Player","Battery Park, New York City, formerly Franklin County, Ohio",Justice Society of America,"Hank Heywood, Sr. (Commander Steel, grandfather, deceased) � Hank Heywood, Jr. (uncle, deceased) � Hank Heywood III (Steel, cousin, deceased) � Kirk Heywood (brother, deceased), Nicole (cousin)",50,95,33,100,23,60,https://www.superherodb.com/pictures2/portraits/10/100/10661.jpg
178,Claire Bennet,Claire Bennet,Female,,Heroes S01E01,NBC - Heroes,good,,0 cm,0 kg,Blue,Blond,"High school student, cheerleader","formerly Odessa, TX, Costa Verde, CA",,"Adoptive parents: Sandra Bennet, Noah Bennet, Biological parents: Meredith Gordon, Nathan Petrelli, Younger adoptive brother: Lyle Bennet,  Younger half brothers: Simon Petrelli, Monty Petrelli",38,9,12,100,90,28,https://www.superherodb.com/pictures2/portraits/10/100/941.jpg
179,Clea,Clea,,The Dark Dimension,,Marvel Comics,good,,0 cm,0 kg,,White,Former ruler and Sorceress Supreme of the Dark Dimension; former apprentice of Doctor Strange,Base of operations unknown,,"Dormammu (uncle), Umar (mother)",,39,,,,,https://www.superherodb.com/pictures2/portraits/10/100/45.jpg
180,Cloak,Tyrone Johnson,Male,"South Boston, Massachusetts",Spectacular Spiderman #64,Marvel Comics,good,,7'5,70 kg,brown,black,Vigilante,"Holy Ghost Church, 42nd Street, New York City","Cloak and Dagger, New Warriors, Marvel Knights",Smokin' Joe (rumored grandfather),63,10,47,64,100,56,https://www.superherodb.com/pictures2/portraits/10/100/46.jpg
181,Clock King,William Tockman,Male,,"World's Finest #111 (August, 1960)",DC Comics,bad,Human,5'10,78 kg,Blue,Black,,,"Clockwatchers, Justice League Antarctica, Suicide Squad, Time Foes","Beverly (sister, deceased)",75,10,17,10,7,40,https://www.superherodb.com/pictures2/portraits/10/100/10396.jpg
182,Cogliostro,Cain,Male,,Spawn #9,Image Comics,bad,,0 cm,0 kg,,,,,,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1074.jpg
183,Colin Wagner,,Male,,,HarperCollins,good,,0 cm,0 kg,Grey,Brown,,,,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1153.jpg
184,Colossal Boy,,Male,,,DC Comics,good,,0 cm,0 kg,,,,,,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1182.jpg
185,Colossus,Piotr Nikolaievitch Rasputin,Male,"Ust-Ordynski Collective, near Lake Baikal, Siberia, Russia","Giant-Size X-Men #1 (May, 1975)",Marvel Comics,good,Mutant,7'5,225 kg,Silver,Black,"(current) Adventurer, student, (former) Artist","(current) Professor Charles Xavier's Institute for Higher Learning, Salem Center, Westchester County, New York (former) Muir Isle, Scotland,; a loft in Soho, Manhattan, Ust-Ordynski Collective, Lake Baikal, Siberia, U.S.S.R., X-Men Headquarters in Austra","X-Men; formerly Excalibur, Acolytes, Defender","Grigory Efimovich Rasputin (great-grandfather, deceased), Elena (great-grandmother, deceased), Ivan Rasputin (great-grand uncle, deceased), Grigory Rasputin (grandfather, deceased), Nikolai Rasputin (father, deceased), Alexandra Rasputina (mother, deceased), Vladimir Rasputin (uncle, deceased), unidentified aunt & uncle (deceased), Illyana Nikolievna Rasputina (Magik, sister, deceased), Mikhail Rasputin (brother), Peter Jr. (son), Larissa Mishchenko (cousin, deceased), Konstantin (cousin, deceased), Klara (cousin, deceased), Dimitriy (cousin, deceased)",63,83,33,100,45,80,https://www.superherodb.com/pictures2/portraits/10/100/48.jpg
186,Copycat,Vanessa Carlysle,Female,,"New Mutants #98 (February, 1991)",Marvel Comics,neutral,Mutant,6'0,67 kg,Red,White,,"Mobile; formerly Adirondack Mountains, Xavier's School for Gifted Youngsters","Weapon X/Weapon Plus and Six Pack (as Copycat), X-Force and New Mutants (as Domino)","Burt Carlysle (father, deceased), Dorothy Carlysle (mother)",56,10,21,25,54,60,https://www.superherodb.com/pictures2/portraits/10/100/10423.jpg
187,Corsair,Christopher Summers,Male,,Uncanny X-Men #107,Marvel Comics,good,,6'3,79 kg,Brown,Brown,"Pirate, former pilot","The Starjammer, Mobile","Starjammers (leader), formerly N.A.S.A, U.S.A.F.","Philip Summers (father), Deborah Summers (mother), Katherine Anne Summers (wife, deceased), Hepzibah (mate), Scott Summers (Cyclops, son), Alexander Summers (Havok, son), Gabriel Summers (Vulcan, son), Madelyne Pryor-Summers (daughter-in-law, deceased), Jean Grey-Summers (Phoenix, daughter-in-law), Nathan Christopher Summers (Cable, grandson), Stryfe (clone grandson, deceased), Tyler Dayspring (Genesis, great-grandson, deceased), Rachel Grey (Marvel Girl, alternate timeline granddaughter)",,16,,,,,https://www.superherodb.com/pictures2/portraits/10/100/49.jpg
188,Cottonmouth,Burchell Clemens,Male,,"Captain America #310 (October, 1985)",Marvel Comics,bad,Human,6'0,99 kg,Brown,Black,Professional criminal,Serpent Citadel,Serpent Society,,50,10,8,10,27,25,https://www.superherodb.com/pictures2/portraits/10/100/10452.jpg
189,Crimson Crusader,Rory Destine,Male,"Ravenscroft, England",ClanDestine #1 (1994),Marvel Comics,good,,0 cm,0 kg,Blue,Strawberry Blond,,,ClanDestine,"Adam Destine (father), unnamed genie (mother), Albert Destine (brother), Samantha Destine (Argent, sister), William Destine (Cap'n Oz, brother), Kay Cera (Cuckoo, sister), Florence Destine (sister, deceased), Gracie Destine (sister, deceased), Dominic Destine (Hex, brother), Pandora Destine (Imp, sister), Maurice Destine (brother, deceased), Newton Destine (brother), Vincent Destine (brother, deceased), Walter Destine (Wallop, brother)",,58,,,,,https://www.superherodb.com/pictures2/portraits/10/100/303.jpg
190,Crimson Dynamo,Anton Vanko,Male,,Tales of Suspense #46 (Oct 1963),Marvel Comics,good,,5'11,104 kg,Brown,No Hair,Scientist,"Stark Industries plant, Long Island, New York",,,,65,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1093.jpg
191,Crystal,Crystallia Amaquelin,Female,Attilan,Fantastic Four #45 (1965),Marvel Comics,good,Inhuman,5'6,50 kg,Green,Red,"Mother, adventuress",,"Inhumans (Royal Family); formerly Fantastic Four, Avengers, Queen's Vengeance","Quelin (father), Ambur (mother), Medusa (sister), Gorgon, Karnak, Triton (cousins), Black Bolt (cousin, brother-in-law), Pietro Maximoff (Quicksilver, estranged husband), Luna (daughter), Ahura (nephew), extensive extended family",63,16,12,14,61,56,https://www.superherodb.com/pictures2/portraits/10/100/305.jpg
192,Curse,Phillip Krahn,Male,,Spawn #25,Image Comics,bad,,0 cm,0 kg,,,,,,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1066.jpg
193,Cy-Gor,,Male,,,Image Comics,bad,,0 cm,0 kg,,,,,,,,96,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1075.jpg
194,Cyborg,Victor Stone,Male,"New York City, New York","DC Comics Presents #26 (October, 1980)",DC Comics,good,Cyborg,6'6,173 kg,Brown,Black,"Adventurer, Teen Titan",San Francisco,"Justice League; formerly Teen Titans, Titans, Titans East, New Teen Titans","Silas Stone (father), Elinore Stone (mother), Tucker Stone (grandfather), Maude Stone (grandmother)",75,53,42,85,71,64,https://www.superherodb.com/pictures2/portraits/10/100/1204.jpg
195,Cyborg Superman,Henry Henshaw,Male,,"Adventures of Superman #466 (May, 1990)",DC Comics,bad,Cyborg,0 cm,0 kg,Blue,Black,,"Warworld, Qward, Antimatter Universe, formerly Biot, Sector 3601","Alpha Lantern Corps, Manhunters, Warworld, formerly Apokolips and Sinestro Corps","Terri Henshaw (wife, deceased)",75,93,92,100,100,80,https://www.superherodb.com/pictures2/portraits/10/100/667.jpg
196,Cyclops,Scott Summers,Male,"Anchorage, Alaska","X-Men #1 (September, 1963)",Marvel Comics,good,Mutant,6'3,88 kg,Brown,Brown,"Leader of mutant race, adventurer, headmaster, former student, radio announcer","Xavier Institute, Salem Center, Westchester County, New York","X-Men (leader, founding member); formerly X-Force (founder); Corsairs (squad leader); The Twelve; X-Factor/X-Terminators (founding member); 198","Oscar Summers (adoptive paternal distant ancestor, deceased); Daniel Summers (paternal distant ancestor, deceased); Amanda Mueller (Black Womb) (paternal distant ancestor); unnamed great-grandfather, deceased; Gloria Dayne (Fontanelle) (paternal distant ancestor); Philip Summers (paternal grandfather); Deborah Summers (paternal grandmother); Christopher Summers (Corsair) (father, deceased); Katherine Ann Summers (mother, deceased); Jack Winters (Jack O'Diamonds) (former foster father); Alexander Summers (Havok) (brother); Gabriel Summers (Vulcan) (brother, deceased); Madelyne Pryor-Summers (Red Queen) (first wife/second wife's clone, deceased); Jean Grey-Summers (Phoenix) (second wife, deceased); Nathan Summers (Cable) (son, deceased); Gailyn Bailey (niece, deceased); Joseph Bailey (nephew, deceased); Adam Neramani (X-Treme) (nephew, alleged half-brother); Hope Summers (adoptive granddaughter); Stryfe (son's clone); Summers and Grey Family Tree (more relatives)",75,10,23,42,76,80,https://www.superherodb.com/pictures2/portraits/10/100/50.jpg
197,Cypher,Douglas Aaron Ramsey,,Place of birth unknown,New Mutants (Vol. 1) #13,Marvel Comics,good,,5'9',68 kg,Blue,Blond,"Student, Adventurer","Professor Charles Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York",New Mutants,"Phillip Ramsey (father), Sheila Ramsey (mother)",,44,,,,,https://www.superherodb.com/pictures2/portraits/10/100/168.jpg
198,Dagger,Tandy Bowen,Female,"Shaker Heights, Ohio",Spectacular Spiderman #64,Marvel Comics,good,,"Shaker Heights, Ohio",52 kg,Blue,Blond,Vigilante,"Holy Ghost Church, 42nd Street, New York City","Cloak and Dagger, Defenders, League of Losers, Marvel Knights, New Warriors, Secret Avengers","Melissa Bowen (mother), unnamed father, Phillip Carlisle (stepfather), Father Michael Bowen (uncle)",63,10,35,42,52,70,https://www.superherodb.com/pictures2/portraits/10/100/51.jpg
199,Danny Cooper,,Male,,,HarperCollins,good,,0 cm,0 kg,Brown,Blond,,,,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1152.jpg
200,Daphne Powell,Daphne Powell,Female,,No Ordinary Family S01E01 (2010),ABC Studios,good,,0 cm,0 kg,,,Student,,,"Jim Powell and Stephanie Powell (parents), JJ Powell (brother)",38,10,8,10,56,10,https://www.superherodb.com/pictures2/portraits/10/100/1356.jpg
201,Daredevil,Matt Murdock,Male,"New York City, New York","Daredevil #1 (April, 1964)",Marvel Comics,good,Human,6'0,90 kg,Blue,Red,"Adventurer, vigilante, Attorney at Law","Hell's Kitchen, New York, New York, Shadowland (formerly)","none; Formerly: partner of Black Widow (Natasha Romanoff), Defenders, S.H.I.E.L.D., Marvel Knights, Secret Avengers (Civil War), Hand leader.","Jonathan ""Battling Jack"" Murdock (Father, deceased), Maggie Murdock (aka Sister Maggie, Mother), Milla Donovan (ex-wife)",75,13,25,35,61,100,https://www.superherodb.com/pictures2/portraits/10/100/52.jpg
202,Darkhawk,Christopher Powell,Male,"Queens, New York","Darkhawk #1 (March, 1991)",Marvel Comics,good,Human,6'1,81 kg,Brown,Brown,Retired Superhero,"Los Angeles, California; formerly New York City and Avengers Compound","formerly Loners, New Warriors, Avengers West Coast (reservist), Secret Defenders (founder)","Michael Powell (father), Grace Powell (mother), Jonathon and Jason Powell (brothers)",50,32,33,70,74,64,https://www.superherodb.com/pictures2/portraits/10/100/53.jpg
203,Darkman,Peyton Westlake,Male,,"Darkman (August 24, 1990)",Universal Studios,good,,0 cm,0 kg,,,Scientist,,,Julie Hastings (girlfriend),75,14,23,85,12,28,https://www.superherodb.com/pictures2/portraits/10/100/1126.jpg
204,Darkseid,Uxas,Male,,Superman's Pal Jimmy Olsen #134 (November 1970),DC Comics,bad,New God,8'9,817 kg,Red,No Hair,Dictator of Apokolips,,"New Gods of Apokolips(ruler), Secret Society of Supervillains","Zonuz (father), Izaya (brother), Avia (sister, deceased), Grail (daughter), Kalibak (son), Orion (son), Deathspawn (son), Scot (nephew/adopted son)",88,100,83,100,100,95,https://www.superherodb.com/pictures2/portraits/10/100/668.jpg
205,Darkside,,,,,,bad,,0 cm,0 kg,,,,,,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/840.jpg
206,Darkstar,Laynia Petrovna,Female,"Minks, USSR","Champions #7 (August, 1976)",Marvel Comics,good,Mutant,5'6,56 kg,Brown,Blond,Occupation unknown,"(before death) Paris, France (formerly) Moscow, USSR; Los Angeles, California, United States","(at death)X-Corps (formerly) Champions, Winter Guard, Soviet Super Soldiers","Nicolai Krylenko a.k.a. Vanguard (brother), Sergi Krylov a.k.a. The Presence (father), Marya Krylova (mother, deceased)",38,8,35,42,79,64,https://www.superherodb.com/pictures2/portraits/10/100/169.jpg
207,Darth Maul,,Male,Dathomir,Star Wars Episode I: The Phantom Menace (1999),George Lucas,bad,Dathomirian Zabrak,5'7,0 kg,Yellow / Red,,,,,Darth Sidious (Master),56,48,50,30,100,100,https://www.superherodb.com/pictures2/portraits/10/100/10464.jpg
208,Darth Vader,Anakin Skywalker,Male,Tatooine,Star Wars: Episode IV - A New Hope (1977),George Lucas,bad,Cyborg,6'6,135 kg,Yellow,No Hair,"Sith Lord, Supreme Commander of the Imperial Fleet",Death Star,"Sith, Galactic Empire","Luke Skywalker (Son), Princess Leia (Daughter)",69,48,33,35,100,100,https://www.superherodb.com/pictures2/portraits/10/100/10444.jpg
209,Dash,Dashiell Robert Parr,Male,,"The Incredibles (Movies, 2004)",Dark Horse Comics,good,Human,4'0,27 kg,Blue,Blond,,,"Incredible Family (genetic member), National Supers Agency (ties), Edna Mode (receives costumes and gadgets from her), Frozone (long-time friend), Mirage (ally)","Robert Parr (Mr Incredible, father), Helen Parr (Elastigirl, mother), Violet Parr(Violet, sister), , Jack-jack (brother)",25,12,92,60,20,30,https://www.superherodb.com/pictures2/portraits/10/100/824.jpg
210,Data,Data,Male,,,Star Trek,good,Android,0 cm,0 kg,Yellow,Brown,Lieutenant commander,,,Dr. Noonian Soong (creator),100,32,21,40,56,50,https://www.superherodb.com/pictures2/portraits/10/100/10577.jpg
211,Dazzler,Alison Blaire,Female,"Gardendale, Long Island, New York",X-Men #130 (1980),Marvel Comics,good,Mutant,5'8,52 kg,Blue,Blond,"Adventurer, singer, former actress, model, revolutionary",,"Formerly Excalibur, X-Babies (guardian), Mojoverse Rebellion, X-Men, Cat's Laughing, Gladiators","Bella Blaire (paternal grandmother), Carter Blaire (father, deceased), Katherine Blaire-Brown (Barbara London, mother), Nicholas Brown (step-father), Lois London (half-sister), Longshot (husband)",63,10,33,60,100,55,https://www.superherodb.com/pictures2/portraits/10/100/1043.jpg
212,Deadman,Boston Brand,Male,,"Strange Adventures #205 (October, 1967)",DC Comics,good,Human,6'0,90 kg,Blue,Black,"Wandering Spirit, Former Circus Aerialist","Mobile, Realm of the Just Dead","White Lantern Corps, formerly Sentinels of Magic, Seven Soldiers of Victory, Justice League of Apostles","Cleveland Brand (twin brother, deceased), Lita Brand (niece), Unnamed parents",50,10,33,100,100,42,https://www.superherodb.com/pictures2/portraits/10/100/1472.jpg
213,Deadpool,Wade Wilson,Male,Canada,"New Mutants #98 (February, 1991)",Evil Deadpool,neutral,Mutant,6'2,95 kg,Brown,No Hair,"Mercenary; former enforcer, government operative, sumo wrestler, soldier, assassin, anti-hero, others","Cavern-X, Sedona, Arizona, Mobile","Thunderbolts (Strike Team), shares body with Agent Preston; formerly X-Force, Deadpool Corps, Agency X, S.H.I.E.L.D.; Code Red, Six Pack, One World Church, DP Inc., Weapon X, Weapon Plus, Heroes for Hire, Secret Defenders, Frightful Four, Team Deadpool, L","Thomas ""Mickey"" Wilson (father, deceased); Hailey Wilson (mother, deceased); Gretchen Wilson, Orksa (ex-wives); Evil Deadpool (clone); Widdle Wade (clone)",69,32,50,100,100,100,https://www.superherodb.com/pictures2/portraits/10/100/835.jpg
214,Deadshot,Floyd Lawton,Male,,"Batman #59 (June, 1950)",DC Comics,bad,Human,6'1,91 kg,Brown,Brown,,,,,50,10,23,28,55,80,https://www.superherodb.com/pictures2/portraits/10/100/670.jpg
215,Deathlok,Luther Manning,Male,,"Astonishing Tales #25 (August, 1974)",Marvel Comics,good,Cyborg,6'4,178 kg,Brown,Grey,,New York area,"Former member of the CIA, Project: Alpha-Mech, US Army, ally of Godwulf's Redeemers","Janice (Wife, seperated), Richard (son)",69,32,30,70,40,60,https://www.superherodb.com/pictures2/portraits/10/100/1304.jpg
216,Deathstroke,Slade Joseph Wilson,Male,,"New Teen Titans #2 (December, 1980)",DC Comics,neutral,Human,6'4,101 kg,Blue,White,"Mercenary; Former Soldier, Big-Game Hunter",The Labyrinth (exact location is currently unknown),"The Society, Titans; Formerly Tartarus, The Injustice League","Wade LaFarge (Ravager III, half-brother, deceased), Adeline Kane (ex-wife, deceased), Grant Wilson (Ravager I, son, deceased), Joseph Wilson (Jericho, son), Rose Wilson (Ravager IV, daughter)",75,30,35,100,47,90,https://www.superherodb.com/pictures2/portraits/10/100/672.jpg
217,Demogoblin,,Male,,"Web of Spider-Man #86 (March, 1992)",Marvel Comics,bad,Demon,6'1,95 kg,Red,No Hair,Demonic Redeemer,New York City,,,50,48,42,35,67,60,https://www.superherodb.com/pictures2/portraits/10/100/1515.jpg
218,Destroyer,,Male,Created in Asgard,Journey into Mystery #118 (1965),Marvel Comics,bad,,6'2,383 kg,,,,,,,50,95,58,98,85,70,https://www.superherodb.com/pictures2/portraits/10/100/1294.jpg
219,Diamondback,Willis Stryker,Male,,"Luke Cage, Hero for Hire#1 (1972)",Marvel Comics,bad,Human,6'4,90 kg,Brown,Black,Criminal,,"Syndicate, formerly Bloods",,44,16,23,28,45,60,https://www.superherodb.com/pictures2/portraits/10/100/1404.jpg
220,DL Hawkins,Daniel Lawrence Hawkins,Male,,Heroes S01E05 - Hiros,NBC - Heroes,good,,0 cm,0 kg,,,"Construction worker, Firefighter","Las Vegas, NV",,"Niki Sanders (wife), Micah Sanders (son), Paulette Hawkins (mother), Monica Dawson (cousin), Damon Dawson (cousin)",50,12,12,56,48,56,https://www.superherodb.com/pictures2/portraits/10/100/943.jpg
221,Doc Samson,Leonard Samson,Male,"Tulsa, Oklahoma","Incredible Hulk #141 (July, 1971)",Marvel Comics,good,Human / Radiation,6'6,171 kg,Blue,Green,"Psychiatrist, teacher, adventurer, former special consultant to Gamma Base","Psychiatrist, teacher, adventurer, former special consultant to Gamma Base",,Leonard Skivorski (father); Ricky Myers (son);,75,80,33,80,36,70,https://www.superherodb.com/pictures2/portraits/10/100/54.jpg
222,Doctor Doom,Victor von Doom,Male,"Haasenstadt, Latveria",Fantastic Four #5 (July 1962),Marvel Comics,bad,Human,6'7,187 kg,Brown,Brown,Monarch,"Castle Doom, Doomstadt, Latveria","Future Foundation; Formerly Cabal, Knights of the Atomic Table, Acts of Vengeance Prime Movers, partner of Namor, employer of the Terrible Trio, Fantastic Four (leader)","Werner von Doom (father, deceased), Cynthia von Doom (mother, deceased); Kang the Conqueror, his counterparts, and offspring (alleged descendants), Kristoff Vernard (Doctor Doom II, adopted son), Dr Bob Doom (distant cousin), Boris (unofficially adoptive father/guardian), Valeria von Doom (daughter from alternate universe; became baby of Susan Richards and is now called Valeria Richards)",100,32,20,100,100,84,https://www.superherodb.com/pictures2/portraits/10/100/189.jpg
223,Doctor Doom II,Kristoff Vernard,Male,"Doomstadt, Latveria","Fantastic Four #247 (1982, as Kristoff), Fantastic Four #278 (1985, as Doctor Doom)",Marvel Comics,bad,,6'7,132 kg,Brown,Brown,,"Former monarch, would-be conqueror",,"unnamed mother (deceased), Mister Fantastic (alleged half-brother), Valeria Richards (alleged niece), Victor von Doom (aka Doctor Doom, adopted father)",,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1018.jpg
224,Doctor Fate,Kent Nelson,Male,,"More Fun Comics #55 (May, 1940)",DC Comics,good,Human,6'2,89 kg,Blue,Blond,,"Tower of Fate, Salem, Massachusetts","Formerly All-Star Squadron, Justice Society of America, Justice League International, Black Lantern Corps","Inza Cramer (wife), Sven Nelson (father, deceased), Celestine Babcock (mother), Kent Nelson, Jr. (son), Aaron Babcock (uncle), Kent V. Nelson (grand-nephew), Laryn Nelson (great grand-niece)",81,16,25,80,100,50,https://www.superherodb.com/pictures2/portraits/10/100/676.jpg
225,Doctor Octopus,Otto Octavius,Male,"Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,bad,Human,5'9,110 kg,Brown,Brown,"Former atomic-research consultant, criminal mastermind",New York City,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,,94,48,33,40,53,65,https://www.superherodb.com/pictures2/portraits/10/100/622.jpg
226,Doctor Strange,Stephen Strange,Male,"Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,good,Human,6'2,81 kg,Grey,Black,"Sorcerer Supreme, retired neurosurgeon",,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",100,10,12,84,100,60,https://www.superherodb.com/pictures2/portraits/10/100/55.jpg
227,Domino,Neena Thurman,Female,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,good,Human,5'8,54 kg,Blue,Black,,,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",63,10,27,28,49,74,https://www.superherodb.com/pictures2/portraits/10/100/902.jpg
228,Donatello,,Male,,Teenage Mutant Ninja Turtles #1,IDW Publishing,good,Mutant,0 cm,0 kg,Green,No Hair,,,,"Leonardo (brother), Michelangelo (brother), Raphael (brother)",88,14,46,60,58,75,https://www.superherodb.com/pictures2/portraits/10/100/10330.jpg
229,Donna Troy,Donna Hinckley Stacey Troy,Female,,The Brave and the Bold Vol. 1 #60 (1965),DC Comics,good,Amazon,5'9,63 kg,Blue,Black,,,"Titans of Myth, Teen Titans, Darkstars",,,89,,,,,https://www.superherodb.com/pictures2/portraits/10/100/806.jpg
230,Doomsday,Doomsday,Male,Krypton,Superman: The Man of Steel #17 (Nov 1992),DC Comics,bad,Alien,8'0,412 kg,Red,White,Destroyer,,"Secret Society of Super Villains, Suicide Squad, Apokolips",,75,100,67,100,100,90,https://www.superherodb.com/pictures2/portraits/10/100/679.jpg
231,Doppelganger,,Male,The Dimension of Manifestations,Infinity War #1 (1992),Marvel Comics,bad,,6'5,104 kg,White,No Hair,,,Formerly Carnage Family; Magus' doppelgangers; operative of Demogoblin,"Anthropomorpho (creator); Hellspawn, Moonshade, many other doppelgangers (brethren)",8,63,60,95,69,84,https://www.superherodb.com/pictures2/portraits/10/100/1320.jpg
232,Dormammu,Dormammu,Male,Faltine Dimension,Strange Tales #126 (1964),Marvel Comics,bad,,6'1,0 kg,Yellow,No Hair,"Despot, conqueror",,"Lords of the Splinter Realms, Lords of the Netherworlds; allied with Umar, Loki, Doctor Doom, Underchild, others","Sinifer (parent/genitor), Umar (sister), Clea (niece), Doctor Strange (nephew-in-law), Satannish (alleged offspring)",88,95,83,100,100,80,https://www.superherodb.com/pictures2/portraits/10/100/1359.jpg
233,Dr Manhattan,Jonathan Osterman,Male,,"Watchmen #1 (September, 1986)",DC Comics,good,Human / Cosmic,0 cm,0 kg,White,No Hair,Scientist,New York City; formerly Mars,"Watchmen, Crimebusters",,88,100,42,100,100,42,https://www.superherodb.com/pictures2/portraits/10/100/884.jpg
